"","lambda","q","p_value","mean_log"
"1",0.380075957451314,5.94565556641976e-07,0.131338118938769,1.00000029722322
"2",0.669999413191904,3.33711990902597e-07,0.812964541116544,1.00000016677487
"3",0.829861795468261,2.58782221693211e-07,0.212474556162219,1.00000012955215
"4",1.15001543314736,2.38829995767473e-07,0.00714414332774316,1.0000001193623
"5",1.70014522689928,8.97362420222991e-08,0.0319132164177165,1.00000004519785
"6",1.07687339511883,0.00588427297605227,0.549727589450723,1.00295664025636
"7",1.76555840075016,0.0157664038240913,0.0413867535606146,1.00798826826867
"8",1.91014360185745,2.10929124931655e-07,0.0255835504981869,1.00000010540541
"9",2.22527564752802,2.82731707606799e-08,0.0877739399943396,1.00000001258457
"10",2.47008956139249,1.59402494386492e-07,0.0524968631047235,1.00000007945182
"11",0.39007281163071,3.73033522490031e-06,0.593329248118054,1.00000186516318
"12",0.141129126894784,0.799290486984901,0.727048951434516,2.47981396558303
"13",0.590025358313846,1.09036860450058e-07,0.0289291260805103,1.00000005470686
"14",0.456845695979427,0.691082816495328,0.513883705438892,1.90444175370833
"15",0.365116994739935,0.565546800047727,0.449683584477482,1.56146736660049
"16",0.935600530420197,0.283078985003522,0.25053842346806,1.18649678765818
"17",0.847751565190265,0.422994651255431,0.536370014794824,1.33311729067346
"18",1.21522865036968,0.281170850340277,0.295167178879846,1.18483412696445
"19",1.67222412079573,0.0206972286105164,0.16704060507921,1.01053049407
