"","name","n_nbinom","q_nbinom","pvalue_nbinom","n_binomlog","q_binomlog","p_binomlog","pvalue_binomlog","p1_doublenbinom","size1_doublenbinom","p2_doublenbinom","size2_doublenbinom","pvalue_doublenbinom","freq","class"
"result.51","do",2.50782512303236,0.195880035976384,0.0110476220391692,8,0.858541431095064,0.420905725608146,0.00693112240179106,0.878024558478783,0.242583350327342,0.195212457262566,2.48774122342586,0.011066627499327,1050,"nothing"
"result.52","well",1.9002706199653,0.15770846489782,0.0486701732827516,3,0.989935880810601,3.91605598984899,1,0.393294571281344,4.62559920652819,0.0270948166181101,0.0696222549123713,0.51516365552358,1035,"doublenbinom+binomlog"
"result.53","been",3.36103797452796,0.254295085568242,0.972187697007799,379,0.740366113173344,0.0122533254274082,0.877524678635861,0.462371319580596,0.0773569001667773,0.25332875655933,3.31155593254046,0.972148010780518,1005,"all"
"result.54","about",2.63249766456281,0.215441367104756,0.836805789492342,5,0.865053746421736,0.607197138181785,0.675584792692827,0.995118009148086,0.0874103483703108,0.215452245690925,2.63359454330895,0.836732107564821,978,"all"
"result.55","some",5.80677024633718,0.391912934350693,0.0866561129532863,7,0.743980742433738,0.600282297683782,0.0254002789422829,7.43953500150348e-07,2.56396603400489e-09,0.340036533628057,4.70167803135191,0.0832949034445026,919,"nbinom+doublenbinom"
"result.56","yet",2.85836596372982,0.244033880242346,0.517236030166479,6,0.834405527754854,0.528897153642639,0.725471293610045,0.0516575668390846,0.0244269223026585,0.238294600606924,2.634217584327,0.8365850596224,903,"all"
"result.57","might",4.2542672529912,0.331785536210571,0.556097595526032,468,0.659255699817388,0.0101574699221377,0.543287712559228,0.331010014273781,0.316884479297905,0.33176139574042,3.93637291909973,0.556176288290545,874,"all"
"result.58","up",2.37520747522303,0.222625290224438,0.162159771533325,3,0.89852956992798,0.794148793543083,0.0787823881779793,0.56350247907671,7.15976082140554,0.0581219062292683,0.169469472204534,0.54528320182757,846,"all"
"result.59","see",2.70822568807708,0.24836148480382,0.310017759032924,4,0.857510320898501,0.680471620887999,0.482269543837441,0.116841726254669,0.512121593232026,0.450922063030929,3.48216373346958,0.366865067692184,836,"all"
"result.60","is",1.28858352666167,0.1375693007679,0.151064668847133,332,0.863292899034595,0.00769139393324885,0.151339203240922,0.999994054703084,1.0656726027396,0.137608946613763,1.28911104199801,0.151053022476564,824,"all"
"result.61","very",2.81730707758849,0.258823498614414,0.174740018123565,7,0.812248998551013,0.447675701530798,0.227582264866551,0.319038012941743,2.75587039651165,0.141618861342297,0.358589994203941,0.210704418617141,823,"all"
