"","lambd","p_value"
"1",0.380011148734996,0.131316215212834
"2",0.669992714544927,0.812906604433633
"3",0.830009295222724,0.212522979214464
"4",1.15000692511272,0.00714396214246071
"5",1.69999529711415,0.0319149472889739
"6",1.07999942688227,0.548935071517214
"7",1.77999846302033,0.0367198856452845
"8",1.90998037885396,0.0255741953630412
"9",2.23001902290612,0.0884069979430868
"10",2.46999982477569,0.0524898251077114
"11",0.38999531297435,0.593022676336835
"12",0.349995446721074,0.438927407248665
"13",0.59001493854891,0.0289262030906636
"14",0.870003876008627,0.060033884012437
"15",0.57001310453684,0.593749441512773
"16",1.10999940135973,0.221873855952993
"17",1.13001792225656,0.346460586140524
"18",1.44001812833714,0.0585016256062901
"19",1.68999357008982,0.151195910217194
